,Longitude,Latitude,Company Name,Location,Detail,Status Rocket, Rocket,Status Mission,Year,Rocket
214,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 3 | CRS-9,StatusRetired,62,Success,2016,62
215,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 551 | MUOS-5,StatusActive,153,Success,2016,153
216,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 3 | ABS-2A & Eutelsat 117 West B,StatusRetired,62,Success,2016,62
217,-80.5772,28.5623,ULA,Cape Canaveral AFS,Delta IV Heavy | NROL-37,StatusActive,350,Success,2016,350
218,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 3 | Thaicom 8,StatusRetired,62,Success,2016,62
219,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 3 | JCSAT-14,StatusRetired,62,Success,2016,62
220,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 3 | CRS-8,StatusRetired,62,Success,2016,62
221,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 401 | CRS OA-6,StatusActive,109,Success,2016,109
222,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 3 | SES-9,StatusRetired,62,Success,2016,62
223,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 401 | GPS IIF-12,StatusActive,109,Success,2016,109
224,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 3 | OG2 Mission 2,StatusRetired,62,Success,2015,62
225,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 401 | CRS OA-4,StatusActive,109,Success,2015,109
